KTV Hohenlohe,,TG Wangen-Eisenharz
Boden
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schmidt, Micha Joel","3,5","11,35",0,,"Mittmann, Moritz","3,3","11,60",1
"Albrecht, Jonas","3,4","11,00",3,,"Ruf, Elias","3,8","10,40",0
"Philippiak, Ron","3,5","11,20",0,,"von Kirn, Julian","4,4","12,70",4
"Bickel, David","5,4","14,05",5,,"Drechsel, Manuel","4,0","10,90",0
Summe,,8,,Summe,,5
Pferd
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bortt, Silas","2,6","10,35",2,,"Kimmerle, Felix","2,7","10,00",0
"Pfleger, Julian","2,7","9,45",0,,"Ruf, Elias","2,7","10,95",4
"Fraisl, Mateo","4,2","12,35",4,,"Schober, Pascal","4,2","11,05",0
"Bogdahn, Michael","2,3","5,40",0,,"Mittmann, Moritz","4,2","10,65",5
Summe,,6,,Summe,,9
Ringe
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Philippiak, Ron","2,6","8,85",0,,"Steinhauser, Nico","3,5","10,70",4
"Fraisl, Mateo","3,9","12,60",3,,"Teiber, Jakob","3,5","11,75",0
"Bogdahn, Michael","2,6","10,45",0,,"Drechsel, Manuel","3,5","11,70",4
"Gerlach, Johannes","3,1","10,70",0,,"Ruf, Elias","3,9","11,50",3
Summe,,3,,Summe,,11
Sprung
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schmidt, Micha Joel","3,2","12,10",0,,"Drechsel, Manuel","4,0","12,85",3
"Albrecht, Jonas","4,0","13,10",4,,"Ruf, Elias","3,2","12,00",0
"Fraisl, Mateo","4,8","13,60",4,,"Kimmerle, Felix","3,2","12,00",0
"Bortt, Silas","3,2","11,80",3,,"von Kirn, Julian","3,2","10,85",0
Summe,,11,,Summe,,3
Barren
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Bickel, David","3,8","11,95",0,,"Mittmann, Moritz","3,5","11,85",0
"Bortt, Silas","2,5","11,40",3,,"Kimmerle, Felix","3,2","10,65",0
"Philippiak, Ron","2,8","7,00",0,,"Schober, Pascal","3,8","12,35",5
"Bogdahn, Michael","2,5","10,90",0,,"Drechsel, Manuel","3,5","11,85",3
Summe,,3,,Summe,,8
Reck
Turner,D-Note,Endwert,Sc,,Turner,D-Note,Endwert,Sc
"Schmidt, Micha Joel","2,5","10,55",0,,"Ruf, Elias","3,0","11,15",3
"Philippiak, Ron","3,0","9,55",0,,"Drechsel, Manuel","3,1","10,65",4
"Bortt, Silas","2,5","10,35",0,,"Kimmerle, Felix","2,7","10,35",0
"Jauck, Joel","3,3","11,30",3,,"MÃ¼ller, Hannes","2,6","10,40",0
Summe,,3,,Summe,,7
Gesamt,,34,,Gesamt,,43
